TimeStamp,hgb,xgb,rfr,vr,actual,prophet,sarimax
2022-01-05 10:00:00,136.7109391,216.6349498,185.01055,182.6165635,186.7395652,248.4124131,189.1622674761678
2022-01-05 11:00:00,128.5796197,214.2474591,181.73315,182.645167,181.4254348,247.7304957,188.9898264727227
2022-01-05 12:00:00,121.6173161,209.056454,179.2164,183.2032421,176.1113043,244.318676,190.6772149423262
2022-01-05 13:00:00,115.9851426,210.5668544,181.602,185.2810546,170.7971739,242.9615751,188.81387658396815
2022-01-05 14:00:00,116.0197763,210.201475,183.6768,190.8495019,165.4830435,240.3283714,189.6044837239197
2022-01-05 15:00:00,119.720683,222.6765339,187.48335,197.6020978,160.168913,245.8441074,192.99449648373465
2022-01-05 16:00:00,134.5613493,231.583533,191.1185,202.9198997,154.8547826,256.0420362,203.34711628198596
2022-01-05 17:00:00,142.901027,240.8085613,193.8905,200.7463437,149.5406522,274.6027556,203.14024491562097
2022-01-05 18:00:00,128.6307796,239.9990791,185.73585,182.0676339,144.2265217,272.7139009,196.2162852541952
2022-01-05 19:00:00,120.6840894,231.218277,177.90085,160.9589159,138.9123913,258.2445957,188.95525824134393
2022-01-05 20:00:00,110.7792458,217.9055865,170.0991,145.8805222,133.5982609,242.0009056,181.73207012281847
2022-01-05 21:00:00,101.0627156,200.3541726,154.384,138.7711102,128.2841304,228.193107,167.921267252237
2022-01-05 22:00:00,99.76698241,202.0197739,144.6708,136.04595,122.97,215.3426613,150.11711902998712
2022-01-05 23:00:00,96.78712548,200.9681323,147.0401,135.3211518,120.67,202.5251277,142.42232269496694
2022-01-06 00:00:00,100.5893482,142.5899482,158.1732,136.8215562,150.0,188.2151372,139.8067803153083
2022-01-06 01:00:00,102.4043748,132.2449657,157.5885,137.9329332,148.14,187.1182533,135.3106945087692
2022-01-06 02:00:00,99.51444515,133.2707742,154.5293,140.718859,148.14,183.4250724,133.45804929590338
2022-01-06 03:00:00,101.995101,138.1490877,154.4652,146.4585994,149.0,182.5608883,132.2555084690884
2022-01-06 04:00:00,110.6390219,151.2101769,155.4503,154.1710446,153.54,184.9266945,132.1280246535857
2022-01-06 05:00:00,113.3117856,164.6270451,155.0247,157.8685428,183.33,189.1569979,136.09543639665748
2022-01-06 06:00:00,119.0934676,178.1396972,153.7946,158.7074275,231.0,196.1213746,144.34764790927312
2022-01-06 07:00:00,138.113299,199.3001001,160.1,161.2206362,245.195,205.161732,155.38494978941787
2022-01-06 08:00:00,160.6358185,209.3163522,157.5569,167.3002579,245.195,213.70387,167.2474362981223
2022-01-06 09:00:00,159.6979685,223.5757667,161.2672,169.7708302,245.195,221.6404796,170.55142983675196
2022-01-06 10:00:00,151.9824963,223.3296086,166.9656,167.8723789,245.195,220.5907887,172.8271562999177
2022-01-06 11:00:00,150.1871093,217.4472152,169.6114,168.1330863,245.195,219.0871517,170.7318267846212
2022-01-06 12:00:00,153.7123849,211.6395465,170.2269,166.0638304,245.195,213.5018606,165.43251857496074
2022-01-06 13:00:00,144.1998258,211.7936463,156.7189,165.0365619,245.195,208.1615762,160.62258875210534
2022-01-06 14:00:00,140.1838375,213.2011374,161.225,168.2754358,245.195,206.110195,169.0683983271997
2022-01-06 15:00:00,151.9655777,224.8160872,170.9194,171.8564689,245.195,218.5687578,180.3887909913483
2022-01-06 16:00:00,171.6082307,231.8262738,180.3903,180.9373673,245.195,237.2581191,190.3774128051474
2022-01-06 17:00:00,171.8444539,236.817097,191.9594,187.8279048,245.195,253.8935774,190.32855526521513
2022-01-06 18:00:00,166.6828753,239.3143495,193.58095,178.2500125,245.195,251.9084366,183.00126054140517
2022-01-06 19:00:00,144.7116997,235.6037281,189.5129,153.1973974,245.195,237.8081017,175.24452566345363
2022-01-06 20:00:00,130.7396249,230.4178843,180.6271,141.0236942,232.0,222.0710845,166.7433060026168
2022-01-06 21:00:00,112.0425666,210.6242632,174.1727,136.6918763,211.84,212.4608998,160.06029918198868
2022-01-06 22:00:00,96.44676866,192.1633203,169.5598,137.3707068,174.97,209.1104416,151.12889835564306
2022-01-06 23:00:00,91.14502992,184.8390241,163.8113,140.8937581,154.24,205.4308277,160.6981806991471
2022-01-07 00:00:00,95.91674487,156.7252972,171.2364,149.9024476,156.0962245,203.1888459,
