Date (GMT+1),Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load
03-01-2022 3.00,156.3,217.2,179.8,50.3,206.3,0,0,1754.5,2588.3
03-01-2022 3.30,156.2,215.6,176.5,50.4,203.3,0,0,1750.5,2584.6
03-01-2022 4.00,157.4,213.1,172.4,50.4,197.9,0,0,1664.8,2572
03-01-2022 4.30,158.4,217,179.2,50.1,205.9,0,0,1677.1,2568.7
03-01-2022 5.00,156.6,217.5,176.1,50.4,199.6,0,0,1802.3,2584.1
03-01-2022 5.30,156.6,210.2,168.1,50.4,191.4,21.2,0,1736.6,2578.6
03-01-2022 6.00,158.1,213.1,175.1,50.3,198.6,25.2,0,1840.5,2658.1
03-01-2022 6.30,157.6,211.8,170.8,50.4,194.3,23.4,0,2067.7,2759.5
03-01-2022 7.00,156.2,210.6,169.1,50.4,194.8,22.8,0,2195.5,2837
03-01-2022 7.30,156.6,207.6,165.1,50.4,186.1,20,0,2332.8,2944.1
03-01-2022 8.00,153.1,207.2,165.1,50.3,183.2,20.1,0,2290.2,2990.2
03-01-2022 8.30,155.7,207.8,165.1,50.2,185,20.2,0,2331.9,3028.1
03-01-2022 9.00,155.3,206,165.1,50.4,187,19.6,0,2320.4,3103.7
03-01-2022 9.30,157.9,216.8,180.5,50.3,203.8,31.3,0,2364.7,3217.5
03-01-2022 10.00,156.2,214.5,175.8,50.4,222.3,27,0,2517.7,3359.4
03-01-2022 10.30,156.3,212.7,173.1,50.5,229.2,24.4,0,2601.9,3465.8
03-01-2022 11.00,151.5,206.9,165.4,46.9,342,20.4,0,2702.4,3566.2
03-01-2022 11.30,156.3,210.2,165.4,46.2,348.7,20.9,0,2539.9,3608.5
03-01-2022 12.00,155.8,211.1,165.1,46.4,348.3,19.9,0,2619.5,3677.9
03-01-2022 12.30,157.4,216.3,180.2,46.2,381,28.5,0,2643.7,3733.6
03-01-2022 13.00,155.9,209.7,168.4,46.2,359.7,22.4,0,2902.6,3828.3
03-01-2022 13.30,152.9,207.2,165.1,60.9,409.3,20,0,2892,3820.4
03-01-2022 14.00,157.4,214.3,174.8,74,433.8,26.1,0,2709.8,3787.9
03-01-2022 14.30,156.3,211.8,171.1,46.2,429.4,24.8,0,2660.4,3770.1
03-01-2022 15.00,157.1,209.7,164.7,46.1,416,19.8,0,2622.7,3772.8
03-01-2022 15.30,158.8,216.1,179.8,51.4,503,29.4,0,2545.1,3793
03-01-2022 16.00,158.4,215.4,178.2,82.7,581.5,28.7,0,2578.5,3883.5
03-01-2022 16.30,159.5,217.7,183.5,84.4,593.3,34.9,0,2846.8,4102.6
03-01-2022 17.00,159.1,287.9,181.8,98.7,597.6,151.5,0,2920.9,4394.4
03-01-2022 17.30,159.1,298.6,172.4,99.1,650.4,148,0,2752.2,4482
03-01-2022 18.00,157.6,326.6,173.1,101.8,656.7,146.2,0,2818.9,4475.9
03-01-2022 18.30,153.2,320.1,164.7,95.9,673.9,170.4,0,2804,4417.2
03-01-2022 19.00,159.4,298.2,187.5,101.8,585.7,192.2,0,2719.9,4244.5
03-01-2022 19.30,158.1,313.1,205.3,101.5,699.4,182.4,0,2669.6,4167.7
03-01-2022 20.00,156,323.4,165.1,98,535.4,178.7,0,2639.8,4071
03-01-2022 20.30,154.4,279.4,165.1,97.3,479.8,21.2,0,2580.4,3920.6
03-01-2022 21.00,158.5,237.8,181.8,97.9,442.8,15.4,0,2647,3852.3
03-01-2022 21.30,156.6,209.7,165.1,46.1,606.4,11.8,0,2600.2,3751.3
03-01-2022 22.00,157.9,210.2,166.7,46.3,488.8,8.7,0,2532.2,3595.3
03-01-2022 22.30,155.6,206.5,164.7,46.3,379,0,0,2427.3,3475.6
03-01-2022 23.00,154,206.3,164.4,46.3,494.4,0,0,2249.2,3408.7
03-01-2022 23.30,161.3,279.7,0,89.1,693.4,0,0,2231.3,3353.5
04-01-2022 0.00,154.7,284.2,0.1,96.5,693.9,0,0,2042.2,3228.4
04-01-2022 0.30,157.9,314.9,0,101.6,656.4,0,0,1890.3,3126
04-01-2022 1.00,157.7,330.9,0,100,642.7,0,0,2050.7,3047.3
04-01-2022 1.30,155.8,303.5,0,98.6,637,0,0,2052,2997
04-01-2022 2.00,156.8,282.6,0,85.3,400.9,0,0,1991.3,2908.8
04-01-2022 2.30,156.7,252.9,0,69.2,356.8,0,0,1909.4,2853.2
04-01-2022 3.00,157.7,217.7,0,69.1,353.6,0,0,1844.4,2793.4
04-01-2022 3.30,154.6,206.9,0,66.6,353.5,0,0,1954.9,2835.4
04-01-2022 4.00,157.7,209.2,0,70.3,383.4,0,0,1967.5,2809.7
04-01-2022 4.30,152.8,206.9,0,64.9,421.8,0,0,1893.2,2800.2
04-01-2022 5.00,159.1,215.2,0,73.7,456.6,0,0,1755.2,2796.5
04-01-2022 5.30,156,206.9,0.1,69.3,431.6,0,0,1986.5,2887.7
04-01-2022 6.00,157.5,210.2,0.1,72.3,488.4,0,0,1815.3,2981.2
04-01-2022 6.30,153.3,231.2,0.1,84,613.2,0,0,1842.6,3158.9
04-01-2022 7.00,158.7,304.4,0.1,101,636.4,6.4,0,1794.9,3349.9
04-01-2022 7.30,153.7,353.8,0.1,95,875.5,15.4,0,1788.4,3561
04-01-2022 8.00,158.3,486.4,0.1,101.6,1141.3,29.4,0,1563.1,3728.8
04-01-2022 8.30,158.4,483,0.1,100.4,1194.8,20.8,0,1626.7,3890.1
04-01-2022 9.00,156.1,481.1,0.1,98.6,1307.5,19.7,0,1588.6,4073.3
04-01-2022 9.30,157.1,483,0.1,98.6,1401.1,20.1,0,1551.7,4170.1
04-01-2022 10.00,158.5,488,0.1,101.5,1401.7,27.7,0,1537.2,4276.2
04-01-2022 10.30,158.2,504.9,0.1,100.6,1553,22.4,0,1425.2,4317.8
04-01-2022 11.00,156.9,521.9,0.1,99,1548.8,19.6,0,1416.5,4384.9
04-01-2022 11.30,152.9,522.3,0.1,94,1556.8,19.6,0,1344.5,4400.9
04-01-2022 12.00,160.5,520.5,0.1,101.5,1596.5,34.1,0,1272.3,4417.1
04-01-2022 12.30,159.5,519.8,0.1,100.8,1697.7,59.3,0,1236.2,4438
04-01-2022 13.00,156.1,520.5,0.1,97.8,1761.8,98.4,0,1244.8,4495.6
04-01-2022 13.30,155.2,520.2,0.1,95.8,1672.2,19.8,0,1416.3,4465.8
04-01-2022 14.00,158.9,521.2,0.1,102,1637.8,27.1,0,1395.8,
04-01-2022 14.30,155,519.8,0.1,95.3,1578.6,19.5,0,1458.5,
04-01-2022 15.00,157.3,518.2,75.2,98.6,1584.8,19.3,0,1331.9,4417.4
04-01-2022 15.30,160.9,520.2,175.8,101.8,1427.7,24.7,0,1306.8,4400.5
04-01-2022 16.00,159.9,518.9,230.8,102,1420.4,28,0,1292.7,4489.1
04-01-2022 16.30,159.8,522.3,307.3,101.5,1450.8,103.7,0,1210.1,4633
04-01-2022 17.00,159.3,519.3,423.4,100.7,1574,177.6,0,1154.3,4943.5
04-01-2022 17.30,158,520.9,452.6,98.1,1548.7,174.5,0,1086,5097.5
04-01-2022 18.00,159.3,521.9,465.3,101.7,1520.2,180.8,0,1048.8,5070.6
04-01-2022 18.30,155.6,520.9,446.9,97,1403,200.1,0,1116.4,4956.8
04-01-2022 19.00,156.7,519.1,479.9,97,1373.8,202.7,0,965,4791.1
04-01-2022 19.30,159.4,519.6,383.5,99,1368.7,101.9,0,995.5,4672.5
04-01-2022 20.00,160.4,519.3,285.6,101.8,1411.2,151.4,0,928.5,4538.6
04-01-2022 20.30,159.5,519.3,379.3,101.7,1381.3,105.8,0,975.9,4427.9
04-01-2022 21.00,160.7,520,442.5,101.8,1378.5,25.6,0,923.7,4302.7
04-01-2022 21.30,158.6,522.5,425.9,98.3,1341.5,0,0,890.4,4154.4
04-01-2022 22.00,160.8,518,331.3,101.9,1352.3,0,0,832.2,
04-01-2022 22.30,155.9,520.2,278.6,95.6,1280,0,0,753.9,
04-01-2022 23.00,155.9,520,210.7,101.9,1090,0,0,729.3,3727.6
04-01-2022 23.30,152.8,521.6,202.9,98.6,997.1,0,0,773,3660
05-01-2022 0.00,154.7,487.8,204.7,100.7,892.7,0,0,705,3522.8
05-01-2022 0.30,154,482.1,202.6,98.1,975.1,0,0,662.5,3425.5
05-01-2022 1.00,154.1,521.2,237.3,96.3,991.1,0,0,583.9,3309.4
05-01-2022 1.30,154.3,516.1,207.8,98.6,839.6,0,0,593.5,3236.1
05-01-2022 2.00,153.3,493,202,97.2,769.9,0,0,580.4,3190.2
05-01-2022 2.30,153.9,434.7,204.4,100.5,774.6,0,0,549.6,3132.8
05-01-2022 3.00,154,400,210.1,101.6,793.9,0,0,500,3083.1
05-01-2022 3.30,155.2,401.6,210.5,101.9,799.7,0,0,483.4,3074.8
05-01-2022 4.00,155.7,407.7,221.2,101.8,827.3,0,0,422.5,3055.2
05-01-2022 4.30,155.4,401.3,210.8,101.9,866.5,0,0,394.4,3056.3
05-01-2022 5.00,150.6,461.5,203.7,97.5,1018.9,0,0,378.9,3067.1
05-01-2022 5.30,153,521.9,204.8,99.5,969.6,0,0,381.1,3123
05-01-2022 6.00,155.2,521.2,226.8,101.1,1003.3,0,0,378.1,3219.1
05-01-2022 6.30,153.9,521.9,300,98.7,1089,0,0,337.1,3376.2
